file name,ego maneuver,ego augmented maneuver,target maneuver,minimum distance btw ego and target
100059.csv,go_straight,"['right', 'brake', 'right_brake', 'accelerate', 'left_accelerate', 'left_brake', 'right_accelerate']",go_straight,2.5386682
10006.csv,go_straight,"['left_accelerate', 'accelerate', 'left']",LEFT,12.90836
100060.csv,go_straight,"['left', 'left_accelerate', 'left_brake', 'brake', 'accelerate']",go_straight,2.4508474
100061.csv,go_straight,['left'],go_straight,2.4464521
100062.csv,RIGHT,['brake'],go_straight,3.1469147
100063.csv,go_straight,"['left_brake', 'right', 'accelerate']",go_straight,62.66391
100064.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,3.0288467
100065.csv,go_straight,['right'],go_straight,6.206435
100066.csv,go_straight,['accelerate'],left_lane_change,4.3994584
100067.csv,go_straight,"['right', 'right_accelerate']",go_straight,3.4616969
100068.csv,go_straight,"['right', 'accelerate', 'left_brake']",go_straight,0.2515797
100069.csv,go_straight,"['left', 'brake', 'left_brake']",go_straight,2.2813938
10007.csv,go_straight,"['left', 'brake', 'left_brake']",not_defined,0.5426464
100070.csv,go_straight,['left'],RIGHT,33.46097
100071.csv,go_straight,['left'],go_straight,1.8774177
100072.csv,go_straight,"['left', 'left_brake', 'brake', 'left_accelerate']",go_straight,2.977246
100073.csv,go_straight,"['brake', 'accelerate']",go_straight,11.532876
100074.csv,go_straight,"['right_accelerate', 'right', 'left_brake', 'accelerate']",go_straight,16.12783
100075.csv,LEFT,['left'],not_defined,0.06909107
100076.csv,LEFT,"['brake', 'accelerate']",go_straight,0.057650283
100077.csv,not_defined,['accelerate'],go_straight,0.11862904
100078.csv,go_straight,"['right_accelerate', 'right']",go_straight,2.3309531
100079.csv,go_straight,"['brake', 'accelerate']",go_straight,26.379595
100080.csv,go_straight,"['left', 'left_accelerate', 'accelerate']",go_straight,3.139131
100081.csv,go_straight,['brake'],go_straight,37.749905
100082.csv,go_straight,"['accelerate', 'left_accelerate']",go_straight,2.409386
100083.csv,go_straight,['left'],go_straight,2.6154616
100084.csv,go_straight,"['left_brake', 'left', 'brake']",go_straight,2.6582565
100085.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",go_straight,25.446482
100087.csv,go_straight,['accelerate'],go_straight,0.062016044
100088.csv,LEFT,"['brake', 'accelerate']",go_straight,2.308454
100089.csv,go_straight,['right'],go_straight,9.656605
10009.csv,go_straight,"['left_brake', 'right_accelerate', 'right', 'accelerate']",not_defined,25.095343
100090.csv,go_straight,['accelerate'],LEFT,38.03032
100091.csv,go_straight,['accelerate'],not_defined,38.01221
100092.csv,go_straight,['accelerate'],go_straight,3.2832644
100093.csv,go_straight,['left'],go_straight,0.073039375
100094.csv,go_straight,"['right_accelerate', 'accelerate', 'left_brake', 'right']",not_defined,0.06401235
100095.csv,RIGHT,['no_augmentations'],LEFT,14.961035
100096.csv,go_straight,['right'],go_straight,0.38063732
1001.csv,go_straight,"['left', 'accelerate', 'left_accelerate']",left_lane_change,16.69951
10010.csv,LEFT,['brake'],go_straight,0.19329436
100100.csv,go_straight,"['right', 'brake', 'right_brake', 'accelerate', 'right_accelerate']",go_straight,2.8474514
100102.csv,RIGHT,['brake'],go_straight,0.022901202
100103.csv,go_straight,['accelerate'],not_defined,31.897808
100104.csv,go_straight,"['right', 'left_accelerate']",go_straight,10.444704
100105.csv,go_straight,['accelerate'],go_straight,13.834435
100106.csv,go_straight,['left'],go_straight,15.364462
100109.csv,go_straight,['accelerate'],LEFT,21.140375
10011.csv,go_straight,['brake'],go_straight,19.02916
100110.csv,go_straight,['left'],go_straight,3.6166208
100111.csv,go_straight,"['left_accelerate', 'right', 'brake', 'right_brake']",left_lane_change,2.1967185
100112.csv,go_straight,['accelerate'],go_straight,3.5026789
100113.csv,LEFT,['brake'],not_defined,0.055278987
100114.csv,go_straight,['right'],RIGHT,27.178755
100115.csv,not_defined,['accelerate'],LEFT,25.731413
100116.csv,go_straight,['left'],go_straight,5.8992214
100117.csv,go_straight,"['left', 'brake', 'left_brake']",go_straight,2.5322037
100118.csv,RIGHT,['no_augmentations'],LEFT,18.516396
100119.csv,go_straight,"['left_accelerate', 'brake', 'right']",go_straight,3.018468
10012.csv,RIGHT,['brake'],go_straight,3.0420396
100120.csv,go_straight,"['left_accelerate', 'right', 'brake', 'accelerate']",go_straight,5.9397507
100121.csv,go_straight,"['accelerate', 'brake']",go_straight,0.123708986
100122.csv,LEFT,"['left', 'left_brake', 'brake']",RIGHT,0.46352842
100123.csv,go_straight,"['left_brake', 'right_accelerate', 'right', 'accelerate']",go_straight,3.2716982
100124.csv,go_straight,['no_augmentations'],LEFT,22.307255
100126.csv,go_straight,"['left_brake', 'right', 'accelerate']",not_defined,0.29189664
100127.csv,go_straight,['accelerate'],go_straight,0.03273761
100128.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",RIGHT,6.331393
100129.csv,go_straight,['accelerate'],RIGHT,0.17905635
10013.csv,go_straight,['right'],go_straight,7.4750905
100130.csv,go_straight,['left'],left_lane_change,3.1755016
100131.csv,go_straight,"['left_brake', 'right_accelerate', 'accelerate', 'right']",go_straight,0.44095433
100132.csv,go_straight,"['brake', 'right']",go_straight,28.795624
100133.csv,go_straight,['no_augmentations'],go_straight,3.3608844
100135.csv,right_lane_change,"['left', 'brake', 'left_brake']",go_straight,0.25693175
100136.csv,go_straight,['brake'],not_defined,4.526615
100137.csv,go_straight,['accelerate'],go_straight,0.10576247
100138.csv,go_straight,"['right', 'right_brake', 'brake', 'accelerate']",not_defined,3.5812728
100139.csv,go_straight,['left'],go_straight,3.2281682
10014.csv,go_straight,"['right', 'left_brake', 'accelerate']",go_straight,28.301538
100141.csv,go_straight,['left'],go_straight,1.7976573
100142.csv,go_straight,['accelerate'],not_defined,23.755575
100143.csv,go_straight,['left'],go_straight,3.1113892
100144.csv,go_straight,['accelerate'],go_straight,3.2376232
100145.csv,LEFT,['accelerate'],go_straight,3.0194857
100146.csv,go_straight,"['left_accelerate', 'accelerate', 'left']",RIGHT,39.221836
100147.csv,go_straight,"['left_brake', 'brake', 'left']",not_defined,3.7646472
100148.csv,go_straight,"['brake', 'right_brake', 'right', 'left_accelerate']",go_straight,45.222385
100149.csv,go_straight,"['accelerate', 'brake']",LEFT,1.5364833
10015.csv,go_straight,['right'],go_straight,2.7757168
100150.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",LEFT,9.32773
100151.csv,right_lane_change,"['brake', 'left', 'left_brake', 'accelerate']",go_straight,0.51480514
100152.csv,go_straight,['left'],go_straight,12.271787
100153.csv,go_straight,['accelerate'],go_straight,0.2230513
100154.csv,go_straight,['right'],go_straight,2.4282055
100155.csv,go_straight,['brake'],go_straight,3.4462566
100156.csv,go_straight,['right'],go_straight,0.06394667
100157.csv,go_straight,"['left', 'left_accelerate', 'accelerate', 'left_brake']",LEFT,6.3075852
100158.csv,go_straight,"['left', 'left_accelerate', 'left_brake', 'brake']",right_lane_change,1.6333245
100159.csv,go_straight,"['left', 'left_brake']",go_straight,4.287103
100160.csv,go_straight,"['brake', 'left', 'left_brake']",not_defined,2.8728504
100161.csv,go_straight,"['left', 'brake', 'left_brake']",go_straight,2.3624163
100162.csv,go_straight,['no_augmentations'],go_straight,2.978182
100163.csv,go_straight,['left'],go_straight,12.730726
100164.csv,go_straight,['right'],right_lane_change,2.8072088
100165.csv,LEFT,"['brake', 'accelerate']",LEFT,1.1433666
100166.csv,not_defined,['brake'],go_straight,1.9014808
100167.csv,go_straight,['right'],not_defined,0.024343465
100168.csv,go_straight,"['left_brake', 'left_accelerate', 'left', 'brake', 'accelerate']",go_straight,18.377481
100169.csv,go_straight,['accelerate'],go_straight,40.769352
10017.csv,go_straight,"['left_accelerate', 'accelerate', 'left']",not_defined,2.7046962
100170.csv,go_straight,['brake'],go_straight,4.951122
100171.csv,go_straight,"['brake', 'accelerate']",left_lane_change,0.3310671
100174.csv,go_straight,"['accelerate', 'brake']",go_straight,3.1344247
100175.csv,go_straight,"['left_brake', 'left', 'brake']",LEFT,5.01635
100176.csv,RIGHT,"['left_accelerate', 'right', 'brake', 'accelerate', 'left_brake']",not_defined,9.137372
100177.csv,go_straight,['accelerate'],LEFT,28.182962
100178.csv,go_straight,"['right', 'right_brake', 'brake', 'left_accelerate', 'right_accelerate', 'accelerate']",go_straight,24.418335
100179.csv,go_straight,"['right', 'brake', 'right_brake', 'left_accelerate']",right_lane_change,0.06462133
10018.csv,go_straight,"['left_brake', 'accelerate', 'right']",go_straight,3.9476345
100181.csv,go_straight,['brake'],go_straight,0.7095198
100182.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",go_straight,2.5701556
100183.csv,go_straight,['accelerate'],go_straight,28.026197
100184.csv,go_straight,"['accelerate', 'left_brake', 'right_accelerate', 'right']",go_straight,5.7423973
100185.csv,go_straight,"['left_brake', 'accelerate']",go_straight,3.7857819
100187.csv,go_straight,['accelerate'],go_straight,24.421518
100188.csv,go_straight,['accelerate'],LEFT,0.24889523
100189.csv,go_straight,['left'],RIGHT,0.11514884
10019.csv,RIGHT,"['brake', 'accelerate']",LEFT,4.9577
100190.csv,go_straight,"['left', 'left_accelerate', 'left_brake', 'brake']",go_straight,1.9430321
100191.csv,not_defined,['accelerate'],go_straight,3.3797631
100192.csv,go_straight,"['left', 'accelerate']",go_straight,10.79768
100193.csv,go_straight,['accelerate'],go_straight,87.62023
100194.csv,go_straight,"['brake', 'accelerate']",go_straight,6.706873
100195.csv,go_straight,"['accelerate', 'right_accelerate']",go_straight,40.211052
100196.csv,left_lane_change,"['left_brake', 'right', 'right_accelerate', 'right_brake', 'brake', 'accelerate', 'left_accelerate', 'left']",LEFT,32.72627
100197.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",go_straight,8.481478
100198.csv,right_lane_change,['left'],go_straight,16.34288
100199.csv,not_defined,['brake'],go_straight,9.078957
1002.csv,LEFT,['brake'],go_straight,4.4493713
10020.csv,go_straight,"['right', 'accelerate', 'right_accelerate']",LEFT,55.723503
100201.csv,not_defined,['accelerate'],go_straight,0.23966022
100202.csv,LEFT,['accelerate'],go_straight,9.313412
100203.csv,go_straight,['no_augmentations'],go_straight,6.6665745
100204.csv,go_straight,"['left', 'brake']",go_straight,2.6354918
100205.csv,go_straight,"['right', 'accelerate', 'left_accelerate', 'brake', 'left_brake']",RIGHT,16.031332
100206.csv,go_straight,['left'],go_straight,35.7355
100207.csv,LEFT,['brake'],go_straight,39.692398
100208.csv,go_straight,"['right_accelerate', 'left_brake', 'right', 'accelerate']",go_straight,50.56679
100209.csv,go_straight,['accelerate'],LEFT,18.901676
10021.csv,go_straight,['brake'],go_straight,3.9014885
100211.csv,go_straight,['right'],go_straight,0.30137748
100212.csv,go_straight,"['right', 'right_accelerate', 'brake', 'accelerate']",go_straight,9.569173
100213.csv,go_straight,"['brake', 'left_brake', 'left']",go_straight,2.679452
100215.csv,go_straight,['left'],not_defined,2.2045271
100216.csv,go_straight,"['left_accelerate', 'brake', 'right_brake', 'right']",not_defined,10.890607
100217.csv,go_straight,"['left', 'left_accelerate', 'accelerate']",go_straight,0.120785475
100218.csv,go_straight,['right'],not_defined,8.169478
100219.csv,go_straight,['no_augmentations'],LEFT,24.818323
10022.csv,go_straight,"['right_brake', 'right', 'brake']",go_straight,11.807829
100220.csv,go_straight,"['accelerate', 'left_brake', 'right_accelerate', 'right']",RIGHT,3.0828552
100221.csv,go_straight,"['right', 'accelerate', 'left_brake', 'right_accelerate']",go_straight,0.17482004
100222.csv,go_straight,['no_augmentations'],LEFT,12.074083
100223.csv,go_straight,['left'],go_straight,3.012375
100224.csv,go_straight,['brake'],RIGHT,0.017349452
100225.csv,go_straight,"['accelerate', 'brake']",RIGHT,3.6750576
100226.csv,LEFT,['brake'],go_straight,0.14964406
100227.csv,go_straight,['right'],go_straight,3.147432
100228.csv,go_straight,"['right', 'left_brake', 'accelerate']",go_straight,0.11937859
10023.csv,go_straight,"['right', 'right_accelerate', 'left_brake', 'accelerate']",RIGHT,38.162853
100230.csv,go_straight,['accelerate'],LEFT,20.0519
100231.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",go_straight,6.334122
100232.csv,go_straight,['no_augmentations'],go_straight,31.169365
100233.csv,not_defined,['accelerate'],go_straight,3.454474
100234.csv,LEFT,['no_augmentations'],go_straight,7.2937236
100235.csv,go_straight,"['accelerate', 'left_brake', 'left_accelerate', 'left']",LEFT,46.462204
100236.csv,go_straight,['accelerate'],go_straight,38.324566
100237.csv,go_straight,['right'],error: no nearby lanes found,32.024456
100238.csv,go_straight,"['accelerate', 'left_brake', 'left', 'left_accelerate']",go_straight,51.69145
100239.csv,left_lane_change,['right'],right_lane_change,8.841244
10024.csv,go_straight,['accelerate'],RIGHT,7.979685
100240.csv,go_straight,['accelerate'],LEFT,30.24571
100241.csv,go_straight,['right'],go_straight,2.6793976
100242.csv,go_straight,['left'],not_defined,0.42440727
100243.csv,LEFT,['brake'],RIGHT,0.23485427
100245.csv,go_straight,"['left', 'left_accelerate', 'accelerate']",go_straight,0.10228072
100246.csv,go_straight,['right'],go_straight,3.3335512
100247.csv,go_straight,"['left_brake', 'left', 'left_accelerate']",go_straight,17.561058
100248.csv,go_straight,['no_augmentations'],LEFT,16.919575
100249.csv,go_straight,['accelerate'],go_straight,0.5707793
10025.csv,go_straight,"['left', 'left_brake', 'brake']",go_straight,9.251503
100250.csv,go_straight,['brake'],go_straight,7.850865
100251.csv,go_straight,['accelerate'],go_straight,13.010354
100252.csv,LEFT,['accelerate'],not_defined,10.509465
100253.csv,go_straight,['left'],go_straight,2.6733668
100254.csv,go_straight,['left'],go_straight,2.922872
100255.csv,go_straight,"['right', 'brake', 'accelerate', 'right_brake', 'left_accelerate', 'left_brake']",go_straight,13.809782
100256.csv,go_straight,['accelerate'],go_straight,60.08648
100257.csv,RIGHT,['brake'],LEFT,2.3481982
100259.csv,go_straight,['right'],not_defined,31.58318
10026.csv,go_straight,['right'],go_straight,0.07288323
100260.csv,go_straight,"['left_brake', 'right_brake', 'right', 'left_accelerate', 'accelerate', 'right_accelerate', 'brake']",go_straight,0.10752946
100261.csv,go_straight,['brake'],not_defined,8.701106
100262.csv,go_straight,"['left_accelerate', 'left_brake', 'accelerate', 'brake', 'right']",go_straight,0.27142575
100263.csv,go_straight,"['left_accelerate', 'brake', 'right_brake', 'right']",go_straight,0.096411
100264.csv,go_straight,['brake'],go_straight,3.307764
100265.csv,go_straight,"['left_brake', 'brake', 'left']",go_straight,2.4799702
100266.csv,go_straight,['brake'],go_straight,20.74176
100267.csv,go_straight,['accelerate'],LEFT,1.2598476
100268.csv,go_straight,['accelerate'],go_straight,3.3125634
100269.csv,go_straight,"['left', 'left_accelerate', 'accelerate']",go_straight,9.058371
10027.csv,go_straight,"['accelerate', 'right', 'left_brake']",right_lane_change,7.276388
100270.csv,go_straight,"['right', 'left_accelerate', 'brake']",go_straight,0.3236348
100272.csv,go_straight,"['right', 'left_accelerate', 'brake']",LEFT,2.91739
100273.csv,go_straight,['accelerate'],go_straight,0.14224808
100274.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,2.2819178
100275.csv,go_straight,"['accelerate', 'left_brake', 'right']",go_straight,0.2985831
100276.csv,go_straight,"['accelerate', 'brake']",go_straight,3.4096987
100277.csv,go_straight,['brake'],go_straight,0.23650536
100278.csv,not_defined,['accelerate'],go_straight,2.6245449
100279.csv,go_straight,"['left', 'accelerate', 'left_accelerate']",go_straight,40.875393
10028.csv,go_straight,"['accelerate', 'left', 'left_accelerate', 'brake']",go_straight,3.3090634
100280.csv,go_straight,"['brake', 'left_brake', 'left']",not_defined,3.2076235
100281.csv,go_straight,"['right_accelerate', 'left_brake', 'right', 'accelerate']",go_straight,2.4807122
100282.csv,go_straight,['right'],go_straight,3.008916
100283.csv,go_straight,['accelerate'],LEFT,84.25055
100284.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",LEFT,9.623897
100285.csv,go_straight,['accelerate'],go_straight,24.408182
100286.csv,go_straight,['accelerate'],LEFT,26.522963
100287.csv,go_straight,"['right_accelerate', 'right', 'accelerate']",go_straight,9.701876
100288.csv,go_straight,"['left', 'left_accelerate', 'left_brake', 'accelerate']",go_straight,7.669006
100289.csv,go_straight,['right'],go_straight,27.770735
10029.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",go_straight,2.951449
100290.csv,go_straight,"['accelerate', 'brake']",go_straight,2.988204
100291.csv,go_straight,"['left_brake', 'right_accelerate', 'right', 'accelerate']",RIGHT,5.1872163
100292.csv,not_defined,['brake'],go_straight,2.963653
100294.csv,go_straight,['brake'],go_straight,0.058997512
100295.csv,go_straight,['accelerate'],go_straight,15.002094
100296.csv,go_straight,['right'],go_straight,18.415054
100297.csv,go_straight,['accelerate'],go_straight,3.3397443
100298.csv,go_straight,['brake'],LEFT,3.936177
100299.csv,go_straight,"['accelerate', 'right_accelerate', 'right']",go_straight,3.6023598
1003.csv,go_straight,"['accelerate', 'right', 'left_brake']",go_straight,7.170844
10030.csv,go_straight,['brake'],go_straight,38.508595
100300.csv,go_straight,"['right', 'left_brake', 'accelerate']",LEFT,2.808502
100301.csv,go_straight,"['left_accelerate', 'right', 'right_brake', 'brake']",go_straight,2.5472221
100302.csv,go_straight,['no_augmentations'],LEFT,20.803999
100303.csv,go_straight,"['brake', 'accelerate']",go_straight,3.2577481
100304.csv,go_straight,"['accelerate', 'brake']",go_straight,3.7598042
100305.csv,RIGHT,['brake'],go_straight,1.5062732
100306.csv,go_straight,['right'],go_straight,2.778123
100307.csv,not_defined,['accelerate'],go_straight,9.862189
100308.csv,go_straight,['brake'],go_straight,10.808532
100309.csv,not_defined,['accelerate'],not_defined,5.7022257
10031.csv,go_straight,['accelerate'],LEFT,0.28051475
100310.csv,go_straight,"['right_accelerate', 'left_brake', 'accelerate', 'right']",not_defined,25.41928
100311.csv,go_straight,['left'],go_straight,45.684624
100312.csv,go_straight,"['accelerate', 'left_accelerate', 'left', 'brake', 'left_brake']",go_straight,2.8857844
100313.csv,go_straight,['brake'],not_defined,1.3531216
100314.csv,RIGHT,['accelerate'],go_straight,2.6668742
100316.csv,go_straight,"['right', 'right_accelerate', 'accelerate', 'left_brake', 'right_brake', 'brake', 'left_accelerate']",go_straight,2.9445612
100318.csv,go_straight,"['left', 'accelerate', 'left_accelerate']",go_straight,5.342417
100319.csv,go_straight,"['left_brake', 'accelerate', 'right']",go_straight,33.074863
100320.csv,go_straight,"['accelerate', 'left_brake', 'right']",go_straight,13.730206
100321.csv,go_straight,"['right', 'left_brake', 'accelerate', 'right_accelerate', 'left_accelerate']",go_straight,2.6282692
100322.csv,go_straight,"['brake', 'right', 'right_brake', 'accelerate']",not_defined,2.4155307
100323.csv,not_defined,['brake'],go_straight,0.16500792
100324.csv,go_straight,"['right', 'right_brake', 'brake']",go_straight,2.472264
100325.csv,go_straight,"['brake', 'left_brake', 'left']",go_straight,3.6661267
100326.csv,go_straight,"['left_brake', 'accelerate', 'right']",go_straight,3.5293086
100327.csv,go_straight,"['left', 'accelerate', 'left_brake', 'brake', 'left_accelerate']",go_straight,2.8186991
100328.csv,not_defined,['accelerate'],go_straight,2.1720119
100329.csv,go_straight,"['accelerate', 'left_brake', 'left_accelerate', 'left']",not_defined,3.0574126
10033.csv,go_straight,['accelerate'],go_straight,13.880143
100330.csv,go_straight,['right'],go_straight,2.748568
100331.csv,go_straight,['left'],not_defined,3.081947
100332.csv,go_straight,"['accelerate', 'right_accelerate', 'right', 'left_brake']",go_straight,2.6507
100333.csv,go_straight,"['accelerate', 'left_brake', 'right', 'right_accelerate']",not_defined,7.686377
100334.csv,go_straight,['left'],go_straight,2.6713543
100335.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,18.879343
100336.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,12.786807
100337.csv,go_straight,"['right', 'right_brake', 'brake']",go_straight,0.24300873
100338.csv,go_straight,"['left', 'left_accelerate', 'accelerate']",go_straight,3.3383086
100339.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,5.6805406
10034.csv,go_straight,['right'],go_straight,2.9246612
100340.csv,go_straight,"['left', 'left_brake', 'brake']",RIGHT,2.3450532
100341.csv,go_straight,"['right', 'right_brake', 'brake']",go_straight,0.08339667
100342.csv,go_straight,['accelerate'],go_straight,0.1687547
100343.csv,go_straight,['accelerate'],LEFT,12.298738
100344.csv,go_straight,"['right', 'right_accelerate']",go_straight,0.10401794
100345.csv,RIGHT,"['accelerate', 'brake']",go_straight,2.999924
100346.csv,go_straight,"['left_accelerate', 'left', 'accelerate', 'brake']",go_straight,0.12896617
100347.csv,go_straight,['right'],go_straight,0.33162603
100348.csv,go_straight,"['accelerate', 'left_brake', 'right']",go_straight,30.955437
100349.csv,go_straight,['right'],go_straight,21.917292
10035.csv,go_straight,['brake'],RIGHT,10.2276535
100350.csv,RIGHT,"['accelerate', 'left_brake', 'right', 'brake', 'left_accelerate']",go_straight,3.9159844
100351.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",LEFT,7.48543
100352.csv,go_straight,['accelerate'],go_straight,3.061541
100353.csv,go_straight,"['brake', 'left_brake', 'left']",go_straight,8.311215
100354.csv,go_straight,"['accelerate', 'left_brake', 'right', 'left_accelerate', 'brake']",not_defined,0.05699959
100355.csv,go_straight,['right'],not_defined,2.607924
100358.csv,LEFT,['no_augmentations'],LEFT,1.5167614
100359.csv,go_straight,"['left_brake', 'brake', 'left', 'accelerate', 'left_accelerate']",not_defined,6.2425804
10036.csv,go_straight,['right'],go_straight,0.12948468
100360.csv,go_straight,['right'],go_straight,0.49371284
100361.csv,go_straight,['right'],left_lane_change,7.8849316
100362.csv,go_straight,['accelerate'],LEFT,26.580149
100363.csv,go_straight,['accelerate'],not_defined,23.392208
100364.csv,go_straight,"['right', 'right_brake', 'brake', 'left_accelerate']",go_straight,24.348843
100365.csv,go_straight,"['left', 'accelerate', 'left_accelerate']",go_straight,10.3676
100366.csv,go_straight,"['accelerate', 'right', 'right_brake', 'right_accelerate', 'left_accelerate', 'brake', 'left_brake']",go_straight,6.770443
100367.csv,go_straight,['left'],go_straight,13.769314
100368.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",go_straight,18.275131
100369.csv,go_straight,['brake'],LEFT,3.1960883
10037.csv,go_straight,['accelerate'],LEFT,24.012335
100370.csv,go_straight,"['left_accelerate', 'left', 'accelerate']",go_straight,3.278168
100371.csv,go_straight,"['left', 'left_brake', 'brake']",not_defined,3.2181153
100372.csv,LEFT,['accelerate'],go_straight,1.1614164
100373.csv,go_straight,['accelerate'],not_defined,9.8845625
100374.csv,RIGHT,['right'],go_straight,0.039246127
100375.csv,go_straight,['brake'],go_straight,61.358135
100376.csv,go_straight,"['left_brake', 'right', 'accelerate']",go_straight,3.3467596
100378.csv,go_straight,['right'],go_straight,0.26547283
100379.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",go_straight,0.1144338
10038.csv,go_straight,['left'],go_straight,2.8664722
100380.csv,go_straight,"['accelerate', 'left_brake', 'right']",LEFT,34.57814
100381.csv,go_straight,"['left', 'left_brake', 'brake']",go_straight,0.03577639
100382.csv,go_straight,['right'],go_straight,11.079848
100383.csv,go_straight,['accelerate'],go_straight,26.578342
100384.csv,go_straight,"['brake', 'accelerate']",go_straight,0.21103334
